City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,susuman,62.7833,148.1667,279.81,59,22,1.79,RU,1718038125
190,olyokminsk,60.3736,120.4264,285.18,79,69,0.41,RU,1718038345
191,severobaykal'sk,55.65,109.3167,280.65,95,93,0.84,RU,1718038098
192,saint-philippe,-21.3585,55.7679,295.92,82,69,5.67,RE,1718038164
193,mbuji-mayi,-6.15,23.6,298.72,33,11,1.75,CD,1718038346
194,kostroma,57.7708,40.9344,291.38,83,94,3.6,RU,1718038307
195,forster,-32.1667,152.5167,283.31,88,70,4.44,AU,1718038346
196,port alfred,-33.5906,26.891,292.06,56,0,3.93,ZA,1718038177
197,island harbour,50.724,-1.2758,290.63,48,68,3.13,GB,1718038163
198,vorgashor,67.5833,63.95,275.26,96,100,3.93,RU,1718038144
199,champerico,14.3,-91.9167,304.45,77,99,2.97,GT,1718038260
200,broome,42.2506,-75.833,290.47,81,100,3.6,US,1718038348
201,paka,4.6374,103.4368,299.11,89,37,0.0,MY,1718038348
202,kudahuvadhoo,2.6708,72.8944,301.75,75,44,5.32,MV,1718038349
203,lampang,18.3333,99.5,297.29,97,100,0.9,TH,1718038349
204,geraldton,-28.7667,114.6,290.38,88,100,4.12,AU,1718038271
205,rakops,-21.0167,24.3333,288.2,34,12,2.8,BW,1718038349
206,dudinka,69.4058,86.1778,280.6,86,7,2.87,RU,1718038350
207,chimoio,-19.1164,33.4833,289.07,82,75,2.54,MZ,1718038350
208,holualoa,19.6228,-155.9522,296.06,81,75,2.57,US,1718038350
209,yelizovo,53.1873,158.3805,284.71,93,0,1.0,RU,1718038323
210,palikir - national government center,6.9248,158.1611,301.2,79,38,5.38,FM,1718038291
211,altai,46.3722,96.2583,287.49,44,15,1.35,MN,1718038351
212,dajal,29.5577,70.3762,310.82,20,0,5.48,PK,1718038352
213,berdigestyakh,62.0989,126.6992,284.28,57,62,1.7,RU,1718038352
214,hawaiian paradise park,19.5933,-154.9731,294.88,97,100,3.09,US,1718038143
215,chernyshevsk,52.5243,117.0174,283.46,72,84,2.88,RU,1718038352
216,jalai nur,49.45,117.7,289.76,60,100,2.93,CN,1718038353
217,i-n-salah,27.1935,2.4607,319.08,7,5,4.04,DZ,1718038353
218,antofagasta,-23.65,-70.4,291.75,76,2,2.14,CL,1718038159
219,axim,4.8699,-2.2405,300.16,82,87,5.32,GH,1718038354
220,lubao,14.9167,120.55,301.19,83,92,1.2,PH,1718038354
221,pozzallo,36.7305,14.8499,301.51,65,22,3.58,IT,1718038355
222,nar'yan-mar,67.6713,53.087,281.54,52,40,0.89,RU,1718038127
223,at taj,24.2049,23.2857,308.42,9,0,4.08,LY,1718038355
224,severo-yeniseyskiy,60.3725,93.0408,285.14,79,26,0.89,RU,1718038072
225,augustow,53.8432,22.9798,290.67,78,85,1.06,PL,1718038356
226,alice springs,-23.7,133.8833,278.9,93,0,3.6,AU,1718038166
227,kapa'a,22.0752,-159.319,297.33,81,20,7.72,US,1718038356
228,lazaro cardenas,17.9583,-102.2,302.39,59,100,3.93,MX,1718038170
229,dolinsk,47.35,142.8,287.99,95,93,3.64,RU,1718038357
230,las rosas,-32.4766,-61.5804,292.51,29,8,4.6,AR,1718038357
231,dongola,19.1667,30.4833,311.83,9,34,4.64,SD,1718038125
232,fomboni,-12.28,43.7425,299.49,67,11,6.55,KM,1718038358
233,santa ana,33.7456,-117.8678,292.58,82,100,0.0,US,1718038083
234,cururupu,-1.8283,-44.8683,301.94,72,66,2.19,BR,1718038229
235,el fasher,13.6279,25.3494,304.39,39,76,11.16,SD,1718038359
236,tralee,52.2704,-9.7026,289.29,55,40,4.12,IE,1718038251
237,lerwick,60.1545,-1.1494,284.15,81,79,9.14,GB,1718038265
238,saudarkrokur,65.7461,-19.6394,279.91,77,90,2.46,IS,1718038360
239,sandnessjoen,66.0217,12.6316,284.21,82,75,5.66,NO,1718038116
240,songyang,34.4553,113.0281,299.45,45,100,1.83,CN,1718038361
241,kaiyuan,23.6977,103.3037,294.5,95,91,2.26,CN,1718038361
242,armacao de buzios,-22.7469,-41.8817,303.18,63,83,1.35,BR,1718038361
243,nadym,65.5333,72.5167,292.02,52,99,5.37,RU,1718038152
